#{"t_start": 1762623701.537952, "env_id": "LunarLander-v3"}
r,l,t
-132.898918,190,197.04924
-112.469052,513,197.486783
-85.486471,370,197.733708
-134.498717,351,197.964831
-106.644527,329,198.183391
164.819208,467,198.651044
170.68149,441,199.026323
-114.127504,462,199.336026
119.009598,473,199.64832
-73.59648,372,199.892986
-49.616362,256,200.083359
-125.020195,268,200.354738
143.563955,418,200.621116
-87.370891,250,200.786235
-46.116877,174,200.905843
188.077095,380,201.147013
-93.319516,348,201.406601
-129.211457,362,201.790224
-78.393409,194,201.922747
181.859627,401,202.187344
189.327765,399,202.451145
184.963694,473,202.768779
166.513896,439,203.180302
175.497426,398,203.445843
-76.569231,174,203.564786
-109.179322,307,203.766483
229.341878,387,204.024259
186.954894,604,204.59451
181.159224,324,204.835228
175.316123,363,205.089241
-157.510475,210,205.237387
-30.334791,235,205.397546
-81.99664,331,205.616254
95.842439,875,206.33285
-114.194815,394,206.598912
-44.578471,1000,207.27223
-87.351418,256,207.605103
-95.196332,192,207.744857
124.816261,500,208.083202
101.683951,900,208.686207
-119.639042,449,209.151947
-99.157378,434,209.445739
189.360333,812,209.989869
158.417259,590,210.395153
-43.511456,1000,211.169186
-94.181697,1000,211.893144
-74.90228,136,212.00391
-67.781187,174,212.213489
-58.342847,377,212.46532
-41.143924,1000,213.147802
-75.94126,257,213.331191
-66.212852,319,213.663849
-214.051484,892,214.259995
-86.148187,379,214.507752
-89.781782,191,214.633957
-53.882083,207,214.802004
124.155755,508,215.300664
-222.768642,834,215.858246
-76.652866,1000,216.696828
-109.81103,413,216.986799
138.696885,982,217.655993
-9.796507,1000,218.501615
-52.507032,1000,219.147849
119.627424,476,219.487363
-60.205278,182,219.729928
-5.969609,1000,220.402441
-130.702105,590,220.8042
-58.388834,209,220.988126
-98.036115,1000,221.777673
-61.895894,1000,222.568206
-81.809808,1000,223.237179
-173.191734,873,223.880496
120.957172,753,224.488487
-119.906189,1000,225.136755
-100.983728,234,225.295596
