#{"t_start": 1762458577.333108, "env_id": "LunarLander-v3"}
r,l,t
-6.179806,170,374.854014
263.801502,217,375.709699
7.379629,183,375.823076
278.612912,230,375.9805
17.294357,168,376.083091
243.335984,226,376.22185
-4.006633,168,377.047157
272.485606,243,377.168711
14.002239,180,377.257352
30.857271,168,377.341656
253.977699,209,377.467347
162.353111,903,378.710627
21.553576,175,378.810991
232.119947,263,379.673258
257.308646,231,379.792218
267.688742,261,379.930572
258.991578,207,380.081305
236.017814,276,380.989584
41.900053,181,381.079353
235.281319,321,381.245846
-26.211362,235,381.376341
234.020117,326,382.300629
196.153923,395,382.512121
53.308735,163,382.593393
272.993754,337,383.55793
-21.873175,202,383.665642
28.44971,199,383.779402
263.22645,236,383.904527
243.064854,230,384.090175
278.504171,192,384.997584
-28.425035,159,385.081016
293.528361,204,385.186868
20.789709,176,385.274951
25.220929,165,385.368726
282.580957,212,385.489054
287.513358,277,386.37143
264.008458,239,386.490708
255.532338,249,386.620431
254.650739,227,386.799939
265.517566,202,387.614567
253.485792,212,387.725445
-24.877896,204,387.829823
2.21955,163,387.91276
279.028703,273,388.064831
269.008525,190,388.836651
231.823275,279,388.98499
-28.323642,183,389.079435
-6.510599,207,389.226493
43.692233,163,389.344438
245.224399,280,390.348687
212.567649,371,390.543206
264.826802,257,390.692213
281.825995,231,391.542469
281.133918,204,391.644868
280.481721,223,391.758379
256.788441,243,391.880863
253.681323,239,392.064601
24.444513,185,392.942428
246.591386,193,393.043121
-40.022422,153,393.120761
248.17428,207,393.282173
179.277744,293,393.53494
250.392375,225,394.279175
234.706607,308,394.435616
217.139652,231,394.555109
6.387084,167,394.646378
281.898483,255,395.426138
245.635817,216,395.531694
220.97952,248,395.65378
7.361756,149,395.738837
242.804823,260,395.937556
298.99405,249,396.824076
279.667703,252,396.949746
25.649852,199,397.056842
232.036693,237,397.187112
-2.494437,146,398.051635
247.079085,253,398.176498
255.30764,301,398.324603
157.236222,1000,399.648179
265.764175,273,399.791656
268.907683,241,400.618212
251.254109,223,400.728011
9.623333,231,400.842998
289.989689,235,400.960311
17.102728,209,401.134242
266.504842,242,401.995725
184.045995,399,402.196814
267.816836,215,402.368692
264.868567,209,402.581482
121.234782,1000,403.682508
261.376693,375,404.552686
261.790997,268,404.687112
-14.082427,209,404.93032
245.716515,254,405.828099
-20.023742,247,405.951319
250.586178,231,406.067283
265.213524,218,406.180496
-24.589133,199,406.295172
246.490384,268,407.156826
13.270207,231,407.271938
270.700629,204,407.372891
2.709318,180,407.478703
275.589201,327,408.400399
265.846163,309,408.553822
271.924038,248,408.674786
270.541507,254,408.8065
225.428126,529,409.718147
273.744528,213,409.824162
243.787753,239,409.948735
32.9291,217,410.839141
256.192717,224,410.948267
236.429585,228,411.061374
261.135021,259,411.311261
8.59001,195,411.441182
26.815468,230,412.269727
263.709433,198,412.3672
260.798442,196,412.47618
246.897127,240,412.596268
255.067295,220,412.720649
259.434783,296,413.522084
246.096593,215,413.629018
255.25944,213,413.73688
49.569067,187,413.892468
25.257005,173,414.74419
264.195684,243,414.864967
236.544871,220,414.97633
15.290225,163,415.081003
246.489151,270,415.353059
228.884322,226,416.070743
30.871131,234,416.188228
271.462673,211,416.292444
265.419191,233,416.4106
249.340612,346,417.255863
249.759077,227,417.375497
262.267471,242,417.496036
-26.222391,192,417.598213
266.1604,285,418.52404
30.455108,233,418.641389
268.69863,215,418.750412
227.343074,225,418.865156
267.496482,197,418.97691
302.546759,278,419.847621
-18.147075,190,419.952382
280.386676,308,420.110642
257.272601,273,420.315257
-1.702096,231,421.222781
275.00665,228,421.338044
276.035319,189,421.436366
251.186884,262,421.583423
274.912746,239,422.419416
9.072351,177,422.508741
263.537403,235,422.628009
223.660771,269,422.764157
247.98156,254,422.9541
282.584228,316,423.878334
154.582585,1000,425.099971
247.3173,200,425.196022
278.825902,205,425.301619
260.083339,213,425.411484
259.895855,222,426.228669
262.520951,303,426.380669
22.473344,170,426.462783
17.500583,194,426.556442
33.329434,243,426.68511
271.486873,296,427.437508
276.889564,228,427.54789
277.141781,211,427.649504
296.578277,380,428.596553
-28.710785,160,428.677135
270.336838,307,428.827652
244.221261,237,428.944416
23.375619,149,429.037865
281.921729,210,429.758493
17.370188,184,429.849757
260.763917,232,429.965788
277.005609,215,430.069484
266.217877,214,430.174226
233.021733,220,431.014138
258.643251,206,431.113512
245.78694,219,431.219942
-2.066567,203,431.36399
42.973794,149,431.464836
257.75465,208,432.258739
266.768902,258,432.383958
246.222433,237,432.498488
230.425008,310,432.649866
239.584106,223,433.379946
256.851906,531,433.643906
-10.247199,142,433.712814
289.643649,334,434.525914
271.788953,184,434.616626
274.844468,203,434.715932
284.571755,241,434.833561
249.121554,250,435.042773
268.528742,233,435.76808
271.186855,299,435.916571
241.468489,196,436.012989
269.137459,208,436.113988
255.560905,253,436.994265
277.380541,228,437.105985
267.184032,320,437.263369
282.207975,280,437.462189
130.319341,1000,438.641116
245.480372,280,439.470482
245.226252,193,439.56675
141.78834,1000,440.84132
44.455789,140,440.909365
48.648864,163,440.991019
50.605764,103,441.040502
273.029008,266,441.181789
115.657988,1000,442.440603
268.68826,267,443.388056
246.371717,222,443.492993
268.553996,229,443.606892
13.714854,173,443.704806
257.723198,245,444.584693
301.690845,255,444.720315
277.822102,208,444.825085
239.945833,217,444.974889
256.342422,339,445.883469
269.79941,206,445.986588
289.418841,295,446.133243
273.748355,250,446.253271
271.312667,233,447.056814
300.155468,295,447.202222
201.684535,405,447.40102
278.607138,270,447.545384
259.982468,231,448.316289
241.705615,199,448.415208
284.013636,264,448.548849
245.564167,221,448.807769
0.774302,126,448.887374
276.671387,196,449.615953
11.48675,156,449.693509
260.377078,225,449.803121
252.156973,192,449.89443
276.731489,267,450.138016
279.798789,334,451.045827
307.985817,223,451.15524
260.259948,211,451.283398
43.468621,244,451.454597
270.004057,239,452.225574
163.998467,1000,453.366676
236.394001,247,453.48659
263.234254,201,453.584981
271.234053,222,453.697951
